timestamp,solving_id,question_id,user_answer,elapsed_time
1553436019332,1,q4060,b,22000
1553436047700,2,q1002,c,21000
1553436087367,3,q4607,d,36000
1553436103584,4,q5135,a,12000
1553436131708,5,q5063,b,24000
1553436171748,6,q4133,c,36000
1553436199597,7,q99,d,24000
1553436269676,8,q3785,b,65000
1553436328701,9,q10022,a,54000
1553436561398,10,q887,b,20000
1553436610417,11,q372,c,16000
1553436643416,12,q339,c,17000
1553436682455,13,q295,c,15000
1553507821491,14,q5049,a,7000
1553507922830,15,q6102,a,90000
1553507990728,16,q6497,d,57000
1553508066465,17,q9529,d,64000
1553508136145,18,q5557,a,47000
1553508186792,19,q5957,c,27000
1553508215279,20,q5597,a,18000
1553508248376,21,q8572,a,22000
1553508284354,22,q6243,a,26000
1553508320152,23,q6188,c,27000
1553508753187,24,q447,b,21000
1553508870339,25,q385,b,19000
1553509010627,26,q442,c,18000
1553509118440,27,q11249,b,22000
1553509162028,28,q842,a,20000
1553509193524,29,q1201,b,22000
1553559453421,30,q1379,a,16000
1553559509229,31,q11262,a,16000
1553559544265,32,q987,c,18000
1553559640292,33,q546,c,20000
1553559684070,34,q200,a,16000
1553559743671,35,q11261,b,19000
1553559825041,36,q340,b,15000
1553559914652,37,q1316,a,19000
1553560015070,38,q830,b,18000
1553560079475,39,q11263,b,19000
1553652899827,40,q359,b,13000
1553652973689,41,q569,a,15000
1553653044572,42,q928,a,18000
1553653092103,43,q11259,b,15000
1553653163089,44,q917,a,13000
1553653224944,45,q1346,c,19000
1553653297031,46,q531,b,18000
1553653407629,47,q1030,b,14000
1553653510630,48,q818,a,22000
1553653560892,49,q579,c,17000
1553690595219,50,q1084,a,14000
1553690663915,51,q1261,c,18000
1553690895773,51,q1261,b,18000
1553690934201,52,q1030,b,20000
1553690973645,53,q1042,b,17000
1553691010360,54,q545,b,20000
1553691053353,55,q353,b,15000
1553691127558,56,q618,c,17000
1553691177886,57,q892,c,17000
1553691221156,58,q237,c,19000
1553691266635,59,q777,a,18000
1553691309138,60,q1360,b,17000
1553691371119,61,q4805,b,13000
1553691407806,62,q9176,c,28000
1553691490508,63,q9606,c,46000
1553691578697,64,q4250,a,63000
1553691610184,65,q6185,b,17000
1553691675045,66,q10212,a,38000
1553691720522,67,q3770,d,14000
1553691759250,68,q6547,d,30000
1553691840478,69,q5683,c,41000
1553691871517,70,q8814,a,13000
1553691949812,71,q10022,d,37000
1553692064953,72,q6497,a,70000
1553692131057,73,q830,b,17000
1553692159823,74,q887,c,18000
1553692196491,75,q928,b,22000
1553692233574,76,q353,c,15000
1553692258444,77,q295,c,15000
1553692297585,78,q10212,d,9000
1553692308776,79,q5135,a,5000
1553692357583,80,q339,c,17000
1553692393528,81,q11262,c,16000
1553692434577,82,q237,a,26000
1553692454303,83,q6547,d,10000
1553692478996,84,q1261,a,19000
1553692528830,85,q6243,d,32000
1553692577540,86,q11263,b,15000
1553692601557,87,q11261,b,18000
1553692646279,88,q579,c,17000
1553692671883,89,q3770,d,16000
1553692703434,90,q842,a,12000
1553692732400,91,q4060,b,16000
1553692749342,92,q6185,c,6000
1553692797691,93,q340,b,14000
1553974390591,94,q1145,a,10000
1553974411373,95,q891,b,13000
1553974451022,96,q1170,a,17000
1553974485397,97,q205,b,17000
1553974586673,97,q205,a,14000
1553974623085,98,q887,c,18000
1553974659609,99,q336,c,18000
1553974695380,100,q728,b,19000
1553974748113,101,q439,c,17000
1553974794218,102,q223,c,14000
1553974821488,103,q791,c,16000
1553974867599,104,q270,a,13000
1553974927450,105,q4757,d,11000
1553974961654,106,q5354,a,25000
