timestamp,solving_id,question_id,user_answer,elapsed_time
1515723952248,1,q8098,b,23000
1515723978115,2,q8074,d,22000
1515724005314,3,q176,b,24000
1515724025898,4,q1279,a,17000
1515724104206,5,q2067,d,24333
1515724104606,5,q2068,d,24333
1515724104937,5,q2069,b,24333
1515724171306,6,q3411,d,18000
1515724171981,6,q3412,a,18000
1515724172820,6,q3413,b,18000
1515724263326,7,q2991,a,17666
1515724264085,7,q2992,c,17666
1515724264811,7,q2993,c,17666
1515724278312,8,q2628,a,2666
1515724279009,8,q2629,b,2666
1515724280056,8,q2630,c,2666
1515724300906,9,q4555,c,18000
1515724347355,10,q4178,a,44000
1515724394343,11,q4761,a,28000
1515724406273,12,q6185,c,10000
1515724419113,13,q6243,a,11000
1515724437878,14,q6442,c,17000
1515724505317,15,q6949,d,16250
1515724505845,15,q6950,b,16250
1515724506328,15,q6951,c,16250
1515724506707,15,q6952,c,16250
1515724567937,16,q7335,b,14750
1515724568602,16,q7336,b,14750
1515724569284,16,q7337,d,14750
1515724569945,16,q7338,c,14750
