timestamp,solving_id,question_id,user_answer,elapsed_time
1531985632350,1,q8098,d,28000
1531985662928,2,q8074,d,27000
1531985692185,3,q176,b,26000
1531985716400,4,q1279,b,22000
1531985843389,5,q2069,d,41000
1531985843487,5,q2067,d,41000
1531985843535,5,q2068,b,41000
1531986040267,6,q3412,c,22666
1531986040269,6,q3411,c,22666
1531986040474,6,q3413,c,22666
1531986546560,7,q2991,d,71666
1531986546564,7,q2993,c,71666
1531986546815,7,q2992,c,71666
1532239061112,8,q2629,d,20333
1532239061119,8,q2630,b,20333
1532239061128,8,q2628,c,20333
1532239128527,9,q4555,c,61000
1532239207191,10,q4178,a,73000
1532239296492,11,q4761,a,84000
1532239340583,12,q6185,b,39000
1532239361208,13,q6243,b,17000
1532239438105,14,q6442,b,72000
1532239750442,15,q6981,b,76250
1532239750443,15,q6982,c,76250
1532239750466,15,q6984,c,76250
1532239750580,15,q6983,c,76250
1532240052966,16,q7338,b,73750
1532240052982,16,q7335,c,73750
1532240053048,16,q7337,d,73750
1532240053077,16,q7336,d,73750
1532240215815,17,q51,d,33000
1532241217276,18,q149,d,33000
1532241269327,19,q185,a,18000
1532241328856,20,q11227,a,24000
1532241401585,21,q8077,d,24000
1532241463701,22,q140,d,24000
1532241613237,23,q52,b,20000
1532241721386,24,q11008,d,19000
1532241792231,25,q26,c,26000
1532241957337,26,q8111,c,26000
1532242123749,27,q58,b,26000
1532242247900,28,q11028,d,36000
1532242354497,29,q152,c,20000
1532242461612,30,q143,c,25000
1532242577836,31,q8110,a,12000
