timestamp,solving_id,question_id,user_answer,elapsed_time
1567214593552,1,q5994,a,23000
1567214632315,2,q5950,d,33000
1567214670450,3,q4135,a,35000
1567214692513,4,q5121,a,18000
1567214718155,5,q3950,d,22000
1567214751590,6,q4139,b,30000
1567214784840,7,q4771,d,30000
1567214805829,8,q10027,c,17000
1567214825674,9,q5805,a,16000
1567214890380,10,q3633,c,61000
1567214930356,11,q4151,a,36000
1567290389001,12,q1398,c,71000
1567290443800,13,q1077,,5000
1567290613257,14,q952,a,34000
1567290747242,15,q1193,a,18000
1567290865829,16,q825,b,19000
1567309725272,17,q955,b,22000
1567310601043,18,q902,a,18000
1567310882871,19,q406,a,22000
1567312579958,20,q1218,b,17000
1567312711749,21,q216,b,19000
1567375988696,22,q8065,d,26000
1567376515290,23,q8090,d,25000
1567376704936,24,q108,c,22000
1567376912768,25,q11027,b,22000
1568284425527,26,q3404,b,29666
1568284425535,26,q3402,a,29666
1568284425592,26,q3403,a,29666
