timestamp,solving_id,question_id,user_answer,elapsed_time
1532061801773,1,q8098,b,22000
1532061828727,2,q8074,c,24000
1532061855236,3,q176,d,24000
1532061870863,4,q1279,c,13000
1532061975282,5,q2068,a,33000
1532061975348,5,q2067,d,33000
1532061975368,5,q2069,d,33000
1532062054577,6,q3413,d,25333
1532062054685,6,q3412,a,25333
1532062054697,6,q3411,c,25333
1532062134290,7,q2993,b,25666
1532062134325,7,q2991,c,25666
1532062134352,7,q2992,c,25666
1532062224810,8,q2630,c,29000
1532062224812,8,q2628,c,29000
1532062224834,8,q2629,d,29000
1532062242384,9,q4555,d,14000
1532062253525,10,q4178,b,8000
1532062263580,11,q4761,b,8000
1532062279450,12,q6185,b,13000
1532062296622,13,q6243,d,14000
1532062320926,14,q6442,d,21000
1532062447066,15,q6981,a,30750
1532062447087,15,q6984,c,30750
1532062447095,15,q6982,b,30750
1532062447095,15,q6983,c,30750
1532062595837,16,q7338,d,36000
1532062595861,16,q7337,d,36000
1532062595929,16,q7336,d,36000
1532062596009,16,q7335,c,36000
1532068987144,17,q6243,d,9000
1532071553323,18,q757,c,17000
1532071573738,19,q200,c,15000
1532071601165,20,q1115,c,15000
1532071622898,21,q295,c,13000
1532071645298,22,q1240,b,16000
1532071670081,23,q1076,c,16000
1532071702011,24,q1224,c,15000
1532071726213,25,q11262,a,9000
1532071749637,26,q825,b,16000
1532071774664,27,q291,a,15000
1532071849075,28,q5282,d,9000
1532071870839,29,q6160,a,11000
1532071896514,30,q4252,c,15000
1532071916684,31,q8864,d,9000
1532071936225,32,q4048,d,9000
1532072001075,33,q3911,d,9000
1532072032531,34,q6332,c,21000
1532072065723,35,q10009,c,20000
1532072099054,36,q4579,b,16000
1532072125955,37,q6374,d,12000
