timestamp,solving_id,question_id,user_answer,elapsed_time
1534157842654,1,q8098,b,21000
1534157866505,2,q8074,c,21000
1534157920007,3,q176,d,51000
1534157938060,4,q1279,c,16000
1534158024628,5,q2067,d,27666
1534158025463,5,q2068,a,27666
1534158026139,5,q2069,d,27666
1534158118319,6,q3411,d,29333
1534158118685,6,q3412,a,29333
1534158119018,6,q3413,d,29333
1534158223667,7,q2991,d,34000
1534158224140,7,q2992,c,34000
1534158224616,7,q2993,b,34000
1534158354243,8,q2628,c,42000
1534158355289,8,q2629,d,42000
1534158356076,8,q2630,b,42000
1534158397503,9,q4555,a,39000
1534158417760,10,q4178,c,18000
1534158433984,11,q4761,b,14000
1534158453873,12,q6185,b,18000
1534158481696,13,q6243,a,24000
1534158542623,14,q6442,b,58000
1534158695367,15,q6981,d,37250
1534158695833,15,q6982,b,37250
1534158696323,15,q6983,c,37250
1534158696825,15,q6984,c,37250
1534158957891,16,q7335,c,64500
1534158958299,16,q7336,d,64500
1534158958714,16,q7337,d,64500
1534158959169,16,q7338,d,64500
1534159500345,17,q916,c,21000
1534333135621,18,q372,c,17000
1534333205244,19,q835,b,17000
1534333308244,20,q295,b,16000
1534333468400,21,q590,c,22000
1534333566709,22,q763,b,20000
1534333658972,23,q1195,c,25000
1534333779068,24,q11263,b,17000
1534333917838,25,q921,a,15000
1534334377480,26,q699,a,10000
1534334539305,27,q3935,b,13000
