timestamp,solving_id,question_id,user_answer,elapsed_time
1516863779535,1,q8098,b,17000
1516863801232,2,q8074,c,19000
1516863827674,3,q176,d,24000
1516863845274,4,q1279,c,15000
1516863908510,5,q2068,a,20333
1516863908594,5,q2067,a,20333
1516863908655,5,q2069,d,20333
1516863958957,6,q3413,a,16000
1516863959000,6,q3411,c,16000
1516863959081,6,q3412,a,16000
1516864002139,7,q2993,c,13666
1516864002182,7,q2991,c,13666
1516864002276,7,q2992,b,13666
1516864047271,8,q2628,c,14000
1516864047330,8,q2629,d,14000
1516864047335,8,q2630,b,14000
1516864074558,9,q4555,d,24000
1516864102410,10,q4178,c,23000
1516864114087,11,q4761,b,10000
1516864132275,12,q6185,b,16000
1516864144503,13,q6243,b,10000
1516864170870,14,q6442,b,24000
1516864240185,15,q6950,a,16750
1516864240214,15,q6951,c,16750
1516864240238,15,q6952,c,16750
1516864240283,15,q6949,d,16750
1516864424899,16,q7338,b,45250
1516864424901,16,q7337,d,45250
1516864424914,16,q7336,d,45250
1516864425015,16,q7335,c,45250
1516864593027,17,q1010,a,14000
1516864613958,18,q685,c,14000
1516864638555,19,q327,c,18000
1516864668197,20,q11261,a,24000
1516864709308,21,q734,a,17000
1516864734633,22,q866,c,19000
1516864757145,23,q1198,a,16000
1516864780472,24,q11263,b,17000
1516864805722,25,q1228,a,18000
1516864826701,26,q771,c,15000
1516864911909,27,q5458,c,11000
1516864928735,28,q4166,b,10000
1516864956524,29,q5392,a,19000
1516864974421,30,q9926,a,8000
1516865000170,31,q6062,d,18000
1516865022835,32,q6508,a,9000
1516865053562,33,q5237,d,17000
1516865070468,34,q9825,b,8000
1516865090985,35,q4564,a,10000
1516865103445,36,q6185,c,4000
1516900922353,37,q1015,a,17000
1516900950063,38,q11249,b,21000
1516900974667,39,q1313,b,17000
1516900998762,40,q446,b,18000
1516901025690,41,q582,c,18000
1516901053067,42,q11259,b,18000
1516901077992,43,q1024,a,16000
1516901100119,44,q1041,c,15000
1516901123263,45,q299,a,16000
1516901146969,46,q295,c,16000
1516906360272,47,q5045,c,14000
1516906377234,48,q8735,a,10000
1516906403004,49,q5770,b,18000
1516906431245,50,q6215,b,8000
1516906453003,51,q6077,a,16000
1516906465401,52,q9556,c,6000
1516906484534,53,q5578,b,14000
1516906510421,54,q6522,a,21000
1516906542977,55,q6745,c,9000
1516906553915,56,q8902,a,6000
1516983437722,57,q4473,a,16000
1516983467652,58,q4087,c,23000
1516983490959,59,q4445,d,17000
1516983521516,60,q9066,a,16000
1516983568102,61,q6755,a,35000
1516983599765,62,q4792,b,11000
1516983620194,63,q5922,a,11000
1516983646475,64,q9857,d,7000
1516983669982,65,q5780,b,17000
1516983687078,66,q4416,b,6000
1516983784112,67,q1109,a,17000
1516983807815,68,q455,a,16000
1516983834171,69,q825,c,17000
1516983878122,70,q11262,a,16000
1516983904733,71,q1076,b,20000
1516983936739,72,q939,b,18000
1516983959175,73,q769,b,14000
1516983984733,74,q224,c,18000
1516984009119,75,q1351,b,16000
1516984033421,76,q447,a,16000
