timestamp,solving_id,question_id,user_answer,elapsed_time
1531663889104,1,q8098,b,15000
1531663921072,2,q8074,c,29000
1531663947571,3,q176,d,24000
1531663970857,4,q1279,c,16000
1531664074357,5,q2067,c,31333
1531664075095,5,q2068,a,31333
1531664075704,5,q2069,d,31333
1531664184384,6,q3411,c,34000
1531664184775,6,q3412,a,34000
1531664185179,6,q3413,d,34000
1531664276269,7,q2991,a,27666
1531664277198,7,q2992,a,27666
1531664278058,7,q2993,b,27666
1531664391155,8,q2628,c,35666
1531664392014,8,q2629,d,35666
1531664392998,8,q2630,a,35666
1531664422336,9,q4555,a,22000
1531664438714,10,q4178,b,10000
1531664480643,11,q4761,b,36000
1531664503013,12,q6185,b,16000
1531664525158,13,q6243,d,16000
1531664559031,14,q6442,d,27000
1531664675484,15,q6981,d,27500
1531664676253,15,q6982,b,27500
1531664676926,15,q6983,c,27500
1531664677529,15,q6984,c,27500
1531664910606,16,q7335,b,57000
1531664912768,16,q7336,d,57000
1531664913582,16,q7337,d,57000
1531664914409,16,q7338,d,57000
1531665060931,17,q3692,a,25000
1531665089605,18,q6433,d,14000
1531665118770,19,q5683,a,19000
1531665150375,20,q9459,c,19000
1531665199277,21,q4468,d,36000
1531665249202,22,q3909,a,36000
1531665275208,23,q5238,b,16000
1531665315101,24,q8617,c,30000
1531665351364,25,q4187,d,27000
1531665400681,26,q6453,b,37000
1531752355301,27,q3950,d,20000
1531752378836,28,q8189,c,15000
1531752404311,29,q5972,c,17000
1531752427442,30,q5060,c,16000
1531752471714,31,q5308,a,37000
1531752494411,32,q9979,b,16000
1531752536658,33,q4436,d,37000
1531752555268,34,q3914,a,11000
1531752585460,35,q8414,a,24000
1531752605762,36,q10227,d,14000
1532238143039,37,q6657,b,25500
1532238143875,37,q6658,a,25500
1532238144499,37,q6659,c,25500
1532238145087,37,q6660,a,25500
1532238407260,38,q6869,a,32750
1532238407971,38,q6870,b,32750
1532238408713,38,q6871,d,32750
1532238409464,38,q6872,b,32750
1532238575745,39,q6765,d,38500
1532238576478,39,q6766,c,38500
1532238577162,39,q6767,b,38500
1532238577885,39,q6768,d,38500
1532238769285,40,q10602,b,45250
1532238770228,40,q10603,b,45250
1532238771354,40,q10604,a,45250
1532238772327,40,q10605,b,45250
1532238991572,41,q6829,a,40750
1532238992354,41,q6830,d,40750
1532238992922,41,q6831,b,40750
1532238993466,41,q6832,a,40750
1532239188450,42,q6833,c,42000
1532239189658,42,q6834,c,42000
1532239191253,42,q6835,b,42000
1532239193484,42,q6836,a,42000
1532239337449,43,q6985,b,26000
1532239337943,43,q6986,c,26000
1532239338430,43,q6987,d,26000
1532239338871,43,q6988,b,26000
1532239504854,44,q6601,d,32000
1532239505681,44,q6602,c,32000
1532239506113,44,q6603,b,32000
1532239506585,44,q6604,b,32000
1532999238527,45,q6773,c,36500
