timestamp,solving_id,question_id,user_answer,elapsed_time
1571144354474,1,q5924,c,37000
1571144384362,2,q6140,a,23000
1571144416028,3,q10325,d,29000
1571144432496,4,q9462,a,14000
1571144467956,5,q10957,a,32000
1571144505588,6,q9551,a,35000
1571144543716,7,q5351,b,35000
1571145016543,8,q1037,a,21000
1571145061941,9,q878,b,17000
1571145105694,10,q1316,a,20000
1571145150396,11,q952,a,15000
1571145193837,12,q254,c,20000
1571145259036,13,q594,a,16000
1571145295613,14,q739,a,17000
1571145332897,15,q1084,a,18000
1571145362545,16,q767,b,14000
1571145405557,17,q1370,c,15000
1571145496285,18,q5248,d,32000
1571145555482,19,q6110,b,30000
1571145573791,20,q5223,a,11000
1571145587772,21,q3665,b,7000
1571145623578,22,q4743,a,26000
1571145671031,23,q5110,a,25000
1571145697011,24,q8737,d,17000
1571145719643,25,q9400,c,16000
1571145751857,26,q5401,d,9000
1571145788937,27,q8750,b,28000
1571157167000,28,q6937,d,21750
1571157167000,28,q6939,c,21750
1571157167000,28,q6940,b,21750
1571157167000,28,q6938,a,21750
1571157332000,29,q10605,c,30250
1571157332000,29,q10604,a,30250
1571157332000,29,q10603,b,30250
1571157332000,29,q10602,b,30250
1571218533373,30,q1037,b,18000
1571218563862,31,q1370,a,16000
1571218632113,32,q237,c,21000
1571218662054,33,q1267,a,17000
1571218690149,34,q1297,c,19000
1571218795901,34,q1297,b,18000
1571218815992,35,q767,c,14000
1571218838358,36,q1266,a,16000
1571218873205,37,q982,b,19000
1571218920458,38,q1374,a,17000
1571218953180,39,q1250,c,18000
1571218981920,40,q669,c,17000
1571219006579,41,q286,c,17000
1571219036282,42,q974,a,19000
1571319031700,43,q10954,d,23000
1571319119891,44,q11192,d,23000
1571319157355,45,q11022,c,23000
1571319208967,46,q11053,a,22000
1571319258183,47,q11012,b,20000
1571319327132,48,q176,c,25000
1571319413716,49,q11181,b,20000
1571319461836,50,q150,d,23000
1571319498482,51,q10974,a,22000
1571319536687,52,q13,a,22000
1571319578496,53,q10,a,28000
1571319673268,54,q11034,d,27000
1571319705638,55,q10986,a,21000
1571319744689,56,q11083,c,22000
1571320150715,57,q11012,c,20000
1571320179047,58,q11083,d,22000
1571320218174,59,q8057,c,23000
1571320270632,60,q3,c,25000
1571320311659,61,q5,d,22000
1571320538063,62,q8057,a,12000
1571320564958,63,q5,c,21000
1571320595370,64,q77,c,25000
1571320641851,65,q10951,a,22000
1571320708724,65,q10951,c,4000
1571320734115,66,q8143,c,20000
1571320873659,67,q2438,d,26000
1571320873666,67,q2436,c,26000
1571320873677,67,q2437,b,26000
1571320969461,68,q2268,d,28666
1571320969466,68,q2269,d,28666
1571320969495,68,q2270,d,28666
1571321121811,69,q1618,c,31333
1571321121824,69,q1617,a,31333
1571321121859,69,q1619,b,31333
1571370516887,70,q6937,d,21750
1571370516901,70,q6939,c,21750
1571370516929,70,q6938,a,21750
1571370516933,70,q6940,b,21750
1571370681929,71,q10602,b,30250
1571370681961,71,q10603,b,30250
1571370681986,71,q10604,a,30250
1571370682006,71,q10605,c,30250
