timestamp,solving_id,question_id,user_answer,elapsed_time
1557749528433,1,q8701,a,129000
1557749792814,2,q6363,d,259000
1557749933080,3,q5815,c,135000
1557749964403,4,q5948,a,26000
1557750051799,5,q4045,d,83000
1557750187536,6,q4771,d,131000
1557750224595,7,q5805,d,33000
1557750296850,8,q4025,a,67000
1557750439288,9,q4599,c,137000
1557750516858,10,q9641,c,73000
1557750593845,11,q4598,b,72000
1557750780676,12,q856,b,18000
1557750853146,13,q594,c,19000
1557750899765,14,q952,a,16000
1557750969476,15,q11259,c,30000
1557751041896,16,q1224,c,19000
1557751106270,17,q832,c,23000
1557751177663,18,q1297,c,16000
1557751247483,19,q295,c,17000
1557751317539,20,q1376,c,17000
1557751370231,21,q283,a,16000
1557751523105,22,q3701,d,45000
1557751726886,23,q8657,c,138000
1557751856431,24,q5655,a,107000
1557751902916,25,q10216,c,19000
1557751926315,26,q5611,b,9000
1557752062411,27,q9594,b,106000
1557752112605,28,q6727,c,30000
1557752171184,29,q8725,c,28000
1557752230772,30,q4181,b,13000
1557752316598,31,q5775,b,71000
1557794896574,32,q1104,a,20000
1557794946784,33,q11249,b,22000
1557794984126,34,q803,c,16000
1557795023955,35,q1367,b,17000
1557795054465,36,q955,a,16000
1557795094004,37,q11262,a,17000
1557795133069,38,q529,b,21000
1557795176515,39,q1373,c,18000
1557795207528,40,q1336,b,15000
1557795248495,41,q11263,b,17000
1557815345316,42,q6331,d,47000
1557815391579,43,q10261,b,23000
1557815422571,44,q4844,b,16000
1557815570166,45,q5242,a,105000
1557815644820,46,q6188,d,41000
1557815688727,47,q10160,c,26000
1557815727185,48,q6340,b,18000
1557815763364,49,q5500,a,22000
1557815840397,50,q5683,b,56000
1557815891924,51,q17065,b,17000
1557878055929,52,q6136,d,87000
1557878129029,53,q6044,b,35000
1557878253864,54,q5238,b,61000
1557878319298,55,q10238,a,50000
1557878407905,56,q5221,b,47000
1557878509268,57,q4543,a,62000
1557878610342,58,q6189,d,70000
1557878749661,59,q17054,b,14000
1557878813267,60,q4043,a,52000
1557878878492,61,q4055,a,34000
1557879002981,62,q200,b,17000
1557879105129,63,q666,b,19000
1557879164634,64,q740,b,22000
1557879230159,65,q11261,c,21000
1557879280930,66,q404,b,20000
1557879332498,67,q1203,a,18000
1557879378723,68,q456,c,16000
1557879426700,69,q588,c,19000
1557879485297,70,q1175,a,21000
1557879540600,71,q1266,a,17000
1557976110679,72,q6963,c,87500
1557976110694,72,q6961,d,87500
1557976110713,72,q6964,a,87500
1557976110780,72,q6962,b,87500
1557976347755,73,q6928,c,49250
1557976347765,73,q6925,d,49250
1557976347877,73,q6927,a,49250
1557976349361,73,q6926,a,49250
1557976568780,74,q6985,b,26000
1557976568860,74,q6986,c,26000
1557976568879,74,q6987,d,26000
1557976568883,74,q6988,b,26000
1557976828870,75,q10928,c,45500
1557976828872,75,q10931,d,45500
1557976829041,75,q10930,b,45500
1557976829374,75,q10929,b,45500
1557977045821,76,q6843,a,45750
1557977045826,76,q6841,b,45750
1557977045854,76,q6844,b,45750
1557977046031,76,q6842,d,45750
1557977314602,77,q6915,a,57250
1557977314620,77,q6916,d,57250
1557977314661,77,q6914,b,57250
1557977314699,77,q6913,b,57250
1557977589613,78,q6859,a,56000
1557977589655,78,q6857,c,56000
1557977589664,78,q6860,b,56000
1557977589671,78,q6858,a,56000
1557977942526,79,q10857,c,43000
1557977942530,79,q10858,d,43000
1557977942531,79,q10859,b,43000
1557977942560,79,q10856,d,43000
1557978220885,80,q6943,c,55000
1557978220921,80,q6944,b,55000
1557978220951,80,q6942,d,55000
1557978220994,80,q6941,a,55000
1557978494375,81,q6874,b,42750
1557978494398,81,q6875,c,42750
1557978494419,81,q6876,a,42750
1557978494461,81,q6873,d,42750
1557978827827,82,q6640,a,65000
1557978827854,82,q6639,a,65000
1557978827860,82,q6637,b,65000
1557978827875,82,q6638,c,65000
1557979045372,83,q11910,a,41500
1557979045416,83,q11907,b,41500
1557979045472,83,q11908,c,41500
1557979045770,83,q11909,a,41500
1557979249023,84,q6651,a,42750
1557979249051,84,q6649,d,42750
1557979249091,84,q6652,b,42750
1557979249092,84,q6650,c,42750
1557979456381,85,q6892,d,36500
1557979456419,85,q6890,d,36500
1557979456430,85,q6889,a,36500
1557979456604,85,q6891,d,36500
1557979680434,86,q6806,c,47250
1557979680453,86,q6808,d,47250
1557979680486,86,q6805,a,47250
1557979680501,86,q6807,c,47250
1557979923242,87,q10889,b,42500
1557979923250,87,q10891,c,42500
1557979923264,87,q10890,c,42500
1557979923453,87,q10888,a,42500
1557980026039,88,q5,b,32000
1557980081955,89,q8162,b,28000
1557980144262,90,q8067,d,29000
1557980205373,91,q11022,a,32000
1557980254792,92,q7,d,24000
1557980306069,93,q8108,b,20000
1557980359687,94,q194,d,24000
1557980409582,95,q11198,a,23000
1557980473854,96,q187,c,37000
1557980528845,97,q181,d,29000
1557980586253,98,q10,d,24000
1557980641346,99,q11205,c,23000
1557980693875,100,q158,c,24000
1557980746858,101,q124,b,25000
1557980799237,102,q8068,d,30000
1557980868528,103,q11113,b,23000
1557980923569,104,q8057,a,30000
1557980976109,105,q8139,b,23000
1557981023829,106,q65,b,28000
1557981074659,107,q11055,d,21000
1557981109912,108,q40,a,27000
1557981157489,109,q132,a,20000
1557981206016,110,q16,c,23000
1557981256869,111,q11016,b,22000
1557981292838,112,q8118,c,25000
1557981344478,113,q189,b,22000
1557981396895,114,q8098,b,28000
1557981443020,115,q11115,a,22000
1557981499914,116,q19,a,31000
1557981545372,117,q172,c,25000
1557981584707,118,q8049,c,17000
1557981620586,119,q11237,c,22000
1557981652111,120,q141,b,22000
1557981699099,121,q3,d,34000
1557981747991,122,q160,d,24000
1557981806047,123,q10985,a,23000
1557981855262,124,q46,a,23000
1557981900359,125,q8113,a,22000
1557981947320,126,q8101,a,22000
1557981998685,127,q11105,c,28000
1557982047708,128,q8074,c,23000
1557982090996,129,q6,c,25000
1557982155898,130,q131,c,21000
1557982206406,131,q11188,b,23000
1557982257609,132,q59,d,24000
1557982311302,133,q8095,b,22000
1557982361481,134,q166,c,26000
1557982407555,135,q11112,b,21000
1557982443983,136,q190,b,24000
1557982519940,137,q8122,d,22000
1557982733204,138,q8118,a,22000
1557982766103,139,q190,a,22000
1557982968194,140,q1738,a,31333
1557982968299,140,q1739,c,31333
1557982968306,140,q1737,d,31333
1557983144365,141,q1772,b,34333
1557983144386,141,q1771,c,34333
1557983144415,141,q1770,a,34333
1557983270836,142,q1537,d,20666
1557983270946,142,q1538,a,20666
1557983271024,142,q1536,a,20666
1557983425729,143,q1409,d,28333
1557983425741,143,q1408,c,28333
1557983425766,143,q1407,b,28333
1557983593180,144,q1760,c,32666
1557983593183,144,q1758,b,32666
1557983593927,144,q1759,c,32666
1557983904803,145,q1919,b,36333
1557983904809,145,q1918,b,36333
1557983904857,145,q1917,d,36333
